Votes,Total,Candidate
38234,70723,YOWERI MUSEVENI TIBUHABURWA KAGUTA
18103,32719,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109275,234004,YOWERI MUSEVENI TIBUHABURWA KAGUTA
128658,550604,YOWERI MUSEVENI TIBUHABURWA KAGUTA
6421,12584,YOWERI MUSEVENI TIBUHABURWA KAGUTA
36857,66935,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75032,91024,YOWERI MUSEVENI TIBUHABURWA KAGUTA
26880,55439,YOWERI MUSEVENI TIBUHABURWA KAGUTA
24779,54770,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3598,6839,YOWERI MUSEVENI TIBUHABURWA KAGUTA
21547,56200,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1893,4653,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2823,5745,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3056,5796,YOWERI MUSEVENI TIBUHABURWA KAGUTA
66572,87415,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9230,20696,YOWERI MUSEVENI TIBUHABURWA KAGUTA
31908,55413,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4173,6264,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2701,4694,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2058,3837,YOWERI MUSEVENI TIBUHABURWA KAGUTA
17921,53744,YOWERI MUSEVENI TIBUHABURWA KAGUTA
17921,53744,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1159,2808,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1109,2628,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1736,3310,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9997,21894,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9997,21894,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11022,16589,YOWERI MUSEVENI TIBUHABURWA KAGUTA
57470,133730,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14218,50652,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14218,50652,YOWERI MUSEVENI TIBUHABURWA KAGUTA
23005,65476,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2268,3638,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1713,3082,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2182,3491,YOWERI MUSEVENI TIBUHABURWA KAGUTA
35660,97320,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14747,32595,YOWERI MUSEVENI TIBUHABURWA KAGUTA
29960,35563,YOWERI MUSEVENI TIBUHABURWA KAGUTA
351,1327,YOWERI MUSEVENI TIBUHABURWA KAGUTA
18365,89391,YOWERI MUSEVENI TIBUHABURWA KAGUTA
18365,89391,YOWERI MUSEVENI TIBUHABURWA KAGUTA
30795,39064,YOWERI MUSEVENI TIBUHABURWA KAGUTA
816,1816,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14770,52463,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14770,52463,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11657,22912,YOWERI MUSEVENI TIBUHABURWA KAGUTA
535,1454,YOWERI MUSEVENI TIBUHABURWA KAGUTA
34050,38872,YOWERI MUSEVENI TIBUHABURWA KAGUTA
25186,32664,YOWERI MUSEVENI TIBUHABURWA KAGUTA
98694,112014,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7498,12348,YOWERI MUSEVENI TIBUHABURWA KAGUTA
16691,48577,YOWERI MUSEVENI TIBUHABURWA KAGUTA
16691,48577,YOWERI MUSEVENI TIBUHABURWA KAGUTA
30590,40487,YOWERI MUSEVENI TIBUHABURWA KAGUTA
309,953,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11769,67048,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11769,67048,YOWERI MUSEVENI TIBUHABURWA KAGUTA
462,1116,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4391,11228,YOWERI MUSEVENI TIBUHABURWA KAGUTA
8114,21484,YOWERI MUSEVENI TIBUHABURWA KAGUTA
10591,15687,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9176,43002,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1308,1973,YOWERI MUSEVENI TIBUHABURWA KAGUTA
23824,36067,YOWERI MUSEVENI TIBUHABURWA KAGUTA
23824,36067,YOWERI MUSEVENI TIBUHABURWA KAGUTA
504,1126,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4272,6420,YOWERI MUSEVENI TIBUHABURWA KAGUTA
558,1124,YOWERI MUSEVENI TIBUHABURWA KAGUTA
50058,65479,YOWERI MUSEVENI TIBUHABURWA KAGUTA
50058,65479,YOWERI MUSEVENI TIBUHABURWA KAGUTA
305,829,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3104,7830,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4901,18265,YOWERI MUSEVENI TIBUHABURWA KAGUTA
8795,28036,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12346,81564,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12346,81564,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3011,8744,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4529,7745,YOWERI MUSEVENI TIBUHABURWA KAGUTA
13402,64163,YOWERI MUSEVENI TIBUHABURWA KAGUTA
13402,64163,YOWERI MUSEVENI TIBUHABURWA KAGUTA
371,902,YOWERI MUSEVENI TIBUHABURWA KAGUTA
32310,43688,YOWERI MUSEVENI TIBUHABURWA KAGUTA
