Constituency,Name,Political Party,Votes,ID
LABWOR COUNTY,OCHERO  JIMBRICKY NOMAN,NRM,14738,1
LABWOR COUNTY,AYEPA  MICHAEL,INDEPENDENT,8466,1
LABWOR COUNTY,OKELLO  PETER CROMWELL,INDEPENDENT,791,1
ADJUMANI EAST COUNTY,MAMAWI  JAMES,NRM,12014,2
ADJUMANI EAST COUNTY,ANGEL  DULU MARK,INDEPENDENT,10728,2
ADJUMANI EAST COUNTY,LANGI  PETER,INDEPENDENT,1722,2
ADJUMANI EAST COUNTY,ANYAMA  DANIEL,INDEPENDENT,933,2
ADJUMANI EAST COUNTY,ADRAWA  LAWRENCE DULU,FDC,390,2
ADJUMANI WEST COUNTY,ALI  MOSES,NRM,10227,2
ADJUMANI WEST COUNTY,TANDRUPASI  PATRICK,FDC,6891,2
ADJUMANI WEST COUNTY,ADRAWA  SANTOS GABRIEL,INDEPENDENT,1836,2
ADJUMANI WEST COUNTY,ASUSI  DOMINIC ANDAMA,INDEPENDENT,1145,2
ADJUMANI WEST COUNTY,IRAMA  TOLU PHILIP,INDEPENDENT,934,2
ADJUMANI WEST COUNTY,AJIRIKA  DRASIKU HENRY,INDEPENDENT,603,2
ADJUMANI WEST COUNTY,DRAGA  GASPER,INDEPENDENT,202,2
AGAGO  WEST COUNTY,ANYWAR  RICKY RICHARD,NRM,9892,3
AGAGO  WEST COUNTY,ODIDA  PATRICK,INDEPENDENT,4954,3
AGAGO  WEST COUNTY,OYAKA  DICKENS,INDEPENDENT,745,3
AGAGO  WEST COUNTY,OCHAN  BENSON,NUP,72,3
AGAGO COUNTY,LAGEN  DAVID,NRM,9396,4
AGAGO COUNTY,OTTO  EDWARD MAKMOT,INDEPENDENT,8789,4
AGAGO COUNTY,KOMAKECH  CHARLES TOO- ODERA,INDEPENDENT,2846,4
AGAGO COUNTY,OKWIR  BELLY SAM OJARA,INDEPENDENT,2692,4
AGAGO NORTH COUNTY,OKOT  JOHN AMOS,NRM,7943,5
AGAGO NORTH COUNTY,OKETTA  WALTER OGWANG,INDEPENDENT,6551,5
AGAGO NORTH COUNTY,OJERA  JACKSON ABUSU,INDEPENDENT,4922,5
AGAGO NORTH COUNTY,OGENGA LATIGO  MORRIS WODAMIDA,INDEPENDENT,4286,5
AGAGO NORTH COUNTY,OPOKA  KENNETH GEOFFREY,FDC,1782,5
AGAGO NORTH COUNTY,OPIO  KENNETH OYO,INDEPENDENT,650,5
