Constituency,Name,Political Party,Votes
AMURIA,OLING JASPER,ANT,47
AMURIA,TYAN ABEL,ANT,47
AMURIA,LOLEM MICAH AKASILE,ANT,47
AMURIA,KIPTERIT CHRISTOPHER,ANT,48
AMURIA,BAKAN APPOLLO JAMES,ANT,50
AMURIA COUNTY,ECWERU MUSA FRANCIS,ANT,50
AMURIA COUNTY,EDIAU SAMUEL,ANT,50
AMURIA COUNTY,AMOLO SIMON PETER,ANT,50
AMURIA COUNTY,EKALET BERNARA,ANT,51
AMURIA COUNTY,OKURUT CHRISTOPHER,ANT,51
AMURU,ODONGO JEJE ABUBAKAR,ANT,51
AMURU,ESERU FRED,ANT,52
APAC,ESOGU NELSON,ANT,54
APAC,AKOL ANTHONY,ANT,55
APAC,OJERA CHRISTOPHER,ANT,55
APAC MUNICIPALITY,OCAN JOHN BOSCO,ANT,56
APAC MUNICIPALITY,OMONY JULIUS,ANT,56
ARINGA COUNTY,ODONGKARA CHRISTOPHER,ANT,58
ARINGA COUNTY,OKELLO DAVID,ANT,58
ARINGA COUNTY,TUGUME JUSTUS,ANT,59
ARINGA COUNTY,SIMBA FRANCIS,ANT,59
ARINGA COUNTY,OLANYA GILBERT,ANT,60
ARINGA COUNTY,NOKRACH WILSON WILLIAM,ANT,61
ARINGA EAST COUNTY,ANENA KEVIN OKUMU,ANT,61
ARINGA EAST COUNTY,OCIRA SOLOMON,ANT,62
ARINGA EAST COUNTY,ANYWAR CHRISTOPHER,ANT,62
ARINGA EAST COUNTY,OKELLO JAMES MOGI,ANT,62
ARINGA EAST COUNTY,OCAN PATRICK,ANT,63
ARINGA NORTH COUNTY,OKELLO JIMMY,ANT,63
ARINGA NORTH COUNTY,AKORA MAXWELL EBONG,ANT,64
ARINGA SOUTH COUNTY,OPETO MOSES,ANT,64
ARINGA SOUTH COUNTY,ODORA DENIS MR DEE,ANT,64
ARINGA SOUTH COUNTY,OKELLO GEORGE EKWARO,ANT,65
ARUA,OKELLO NELSON,ANT,66
ARUA CENTRAL DIVISION,CHONO PATRICK OKELLO,ANT,66
ARUA CENTRAL DIVISION,ODONGO FRANCIS,ANT,67
ARUA CENTRAL DIVISION,ADRIKO YOVAN,ANT,67
ARUA CENTRAL DIVISION,EJUA SIMON,ANT,68
ARUA CENTRAL DIVISION,PARIYO PETER,ANT,68
ARUA CENTRAL DIVISION,OBINI GERALD,ANT,69
ARUA CITY,ATIMA JACKSON LEE BUTI,ANT,69
ARUA CITY,WADRI KASSIANO EZATI,ANT,69
ARUA CITY,HADAD SALIM,ANT,70
ARUA CITY,ASEGA HABIB JOGO,ANT,71
ARUA CITY,ADOMATI RONALD,ANT,71
ARUU COUNTY,LEMERIGA FADHIL KUJO,ANT,72
ARUU COUNTY,FETA GEOFREY,ANT,72
ARUU COUNTY,AVUTIA SIMON,ANT,72
ARUU COUNTY,AYIKOBUA ISAAC,ANT,72
ARUU COUNTY,PIRIO GASPER,ANT,74
ARUU COUNTY,MUNDURU KEVIN,ANT,75
ARUU COUNTY,ADRABO ALEX ADIGA,ANT,75
ARUU NORTH COUNTY,DRAVILLE BEN,ANT,76
ARUU NORTH COUNTY,TEKAKWO VENICE,ANT,76
ARUU NORTH COUNTY,ANGUFIRU MARGARET,COSEVO,77
ARUU NORTH COUNTY,LEMATIA JOHN,CP,78
ARUU NORTH COUNTY,ATIKU BENARD,CP,78
ARUU NORTH COUNTY,AYIKOBUA DENIS,DP,79
ARUU NORTH COUNTY,AFAYOA CHRISTOPHER,DP,80
ASWA COUNTY,MBOIZI ARTHUR WAAKO,DP,80
ASWA COUNTY,KASIBBO JOSHUA OMAYENDE,DP,81
ASWA COUNTY,KISAALE JAMES,DP,81
ASWA COUNTY,MUGULUSI GONANSA,DP,82
ASWA COUNTY,GOIRE MOSES,DP,82
ASWA COUNTY,MBOGO KEZEKIA,DP,83
ASWA COUNTY,MWANIKA FRANCIS,DP,83
ASWA COUNTY,MAGGWA ASUMAN,DP,83
ASWA COUNTY,KASOLO ROBERT,DP,85
ASWA COUNTY,KAMPANYA ABDU SWAIBU,DP,85
AYIVU DIVISION EAST,MUGWERI GEOFFREY,DP,86
AYIVU DIVISION EAST,KAMWADA WILLIAM HARVEY,DP,86
AYIVU DIVISION EAST,KABIRA BRIAN,DP,86
AYIVU DIVISION EAST,MUSIGIRE ABBAS,DP,86
AYIVU DIVISION EAST,WAKIKONA WANDENDEYA,DP,86
AYIVU DIVISION EAST,WATIRA WILSON,DP,86
AYIVU DIVISION EAST,NAMUKOWA PHILIP,DP,87
AYIVU DIVISION EAST,WAMBOKO PETER KITUNO,DP,87
AYIVU DIVISION EAST,KHATONDI JOB,DP,87
AYIVU DIVISION WEST,MODOI ISAAC,DP,87
AYIVU DIVISION WEST,WATENGA GODFREY,DP,88
AYIVU DIVISION WEST,BIKALA MOSES MUKUWA,DP,88
AYIVU DIVISION WEST,MASIKA ROBERT,DP,88
BAMUNANIKA COUNTY,WAKOSESE MICHEAL,DP,89
BAMUNANIKA COUNTY,NABOKYE WILSON,DP,89
BAMUNANIKA COUNTY,NAMBESHE JOHN BAPTIST,DP,89
BAMUNANIKA COUNTY,MUKHOBEH MOSES KHAUKHA,DP,89
BAMUNANIKA COUNTY,HUSSEIN KATO MATANDA,DP,89
BARDEGE-LAYIBI DIVISION,MATSANGA JACKSON,DP,90
BARDEGE-LAYIBI DIVISION,BASALIRWA ASUMAN,DP,91
BARDEGE-LAYIBI DIVISION,OKETCHO JOHN FRANCIS,DP,91
BARDEGE-LAYIBI DIVISION,KIZIRE NAKENDO IBRAHIM,DP,91
BARDEGE-LAYIBI DIVISION,MAGUMBA FRANK,DP,93
BARDEGE-LAYIBI DIVISION,WAISWA JAMIRU,DP,94
BARDEGE-LAYIBI DIVISION,WAFULA STEPHEN,DP,96
BARDEGE-LAYIBI DIVISION,WAFULA FAHADI,DP,96
BBALE COUNTY,SILWANY SOLOMON,DP,96
BBALE COUNTY,WAFULA OGUTTU,DP,97
BBALE COUNTY,MUGOYA ALI MUKOOVA,DP,99
BBALE COUNTY,LUWANGA FREDDIE DAVID,DP,99
BBALE COUNTY,NTAMBI LATIF ARAFAT,DP,100
BBALE COUNTY,KAREMIRE MUGAGGA,DP,100
BBALE COUNTY,WANDERA ISMAIL ONYANGO,DP,100
BBALE COUNTY,OKANGA CHARLES,DP,100
BBALE COUNTY,WABWIRE CHARLES,DP,100
BBALE COUNTY,MUKAMA ABUBAKALI,DP,100
BBALE COUNTY,BALYEIDHUSA SAMUEL,DP,100
BBALE COUNTY,BAKA STEPHEN MUGABI,DP,101
BOKORA COUNTY,AYAGALACHI JAMALI,DP,102
BOKORA COUNTY,NAKENDO ISAAC,DP,103
BOKORA EAST COUNTY,ENGURATA GEORGE WILLIAM,DP,103
BOKORA EAST COUNTY,MWONDHA SAMUEL DAVID,DP,103
BUBULO COUNTY WEST,TENYWA HUSSEIN NYAIKA,DP,103
BUBULO COUNTY WEST,KATUNTU ABDU,DP,103
BUBULO COUNTY WEST,IBAALE DANIEL JOSEPH,DP,103
BUBULO COUNTY WEST,GALISONGA JULIUS,DP,103
BUBULO COUNTY WEST,KEDDY ABUBAKER,DP,104
BUBULO COUNTY WEST,NKUUTU SHABAN,DP,104
BUBULO EAST COUNTY,NKUUTU SULAIMAN,DP,104
BUBULO EAST COUNTY,KAKAIRE SULAIMAN,DP,104
BUBULO EAST COUNTY,MENYA ISIIMA,DP,105
BUBULO EAST COUNTY,MALIBA HARITH,DP,106
BUDADIRI COUNTY EAST,KIRUNDA KIBEDI PAUL,DP,106
BUDADIRI COUNTY EAST,MAMBO KASIMU,DP,106
BUDADIRI COUNTY EAST,MWIJUKYE FRANCIS,DP,107
BUDADIRI COUNTY EAST,RUGYERO GREAT ALEX,DP,107
BUDADIRI COUNTY EAST,MUKIIZA LINAS,DP,107
BUDADIRI COUNTY EAST,BIRAARO EPHRAIM,DP,109
BUDADIRI COUNTY EAST,NAREEBA DANIEL,DP,109
BUDADIRI COUNTY EAST,TWINOMUGISHA WILSON,DP,109
BUDADIRI COUNTY WEST,ABENAITWE EVATH,DP,110
BUDADIRI COUNTY WEST,MPIIRWOMUGISHA ISAIAH,DP,111
BUDADIRI COUNTY WEST,BAYIGGA MICHAEL PHILIP,DP,113
BUDADIRI COUNTY WEST,MUTEBI DAVID RONNIE,DP,113
BUDADIRI COUNTY WEST,SEMBUYA KOONA MAGULU,DP,114
BUDADIRI COUNTY WEST,NSUBUGA MURSHID,DP,114
BUDAKA,KATAMBULA STEPHEN,DP,114
BUDAKA,SEKIMULI ANDREW,DP,115
BUDAKA,SENDEGE IVAN,DP,115
BUDAKA,SSERUBULA STEPHEN,DP,115
BUDAKA,MULINDWA ISAAC SSOZI,DP,116
BUDAKA,BOGERE RICHARD,DP,117
BUDAKA,SSERUWAJI MOSES,DP,117
BUDAKA,ONZIMA BOSCO,DP,117
BUDAKA,LWANGA JIMMY,DP,117
BUDAKA,NYANGO DIANA HOPE,DP,118
BUDAKA COUNTY,MUSOKE PAUL SEBULIME,DP,118
BUDAKA COUNTY,KABUYE BADIRU MPOZA,DP,120
BUDAKA COUNTY,EMOLU GODFREY KIZZA,DP,121
BUDAKA COUNTY,ONYANGO DAVID,DP,121
BUDAKA COUNTY,MUSANJE MOSES,DP,122
BUDAKA COUNTY,LUSWATA NASHIF,DP,122
BUDAKA COUNTY,KALAZANI CHARLES,DP,123
BUDAKA COUNTY,MUGABI ARTHUR,DP,124
BUDIOPE EAST COUNTY,WANZALA RICHARD,DP,125
BUDIOPE EAST COUNTY,IKOJO JOHN BOSCO,DP,125
BUDIOPE EAST COUNTY,EKUMA GEORGE STEPHEN,DP,125
BUDIOPE EAST COUNTY,OBILAN ABUBAKAR UMAR,DP,125
BUDIOPE EAST COUNTY,OMODING PETERSON,DP,125
BUDIOPE WEST COUNTY,EMAASIT DANIEL,DP,125
BUDIOPE WEST COUNTY,EYATU KENNETH,DP,125
BUDIOPE WEST COUNTY,EKOOM STEPHEN,DP,126
BUDIOPE WEST COUNTY,OITA SAM ODEKE,DP,126
BUDIOPE WEST COUNTY,OPOLOT PATRICK ISIAGI,DP,127
BUDIOPE WEST COUNTY,ALEKO HENRY,EPU,127
BUDIOPE WEST COUNTY,OKELLOTO TOM,EPU,127
BUDUDA,OMAGOR DAVID STEPHEN,EPU,129
BUDUDA,NANDAGIRE CHRISTINE,EPU,129
BUDYEBO COUNTY,KATUSHABE RUTH,EPU,129
BUDYEBO COUNTY,LUBYAYI IDDI KISIKI,FDC,130
BUDYEBO COUNTY,KATEREGGA MOHAMED,FDC,131
BUFUMBIRA COUNTY EAST,KAWOOYA YASIIN,FDC,132
BUFUMBIRA COUNTY EAST,NAMAKULA RACHEAL,FDC,132
BUFUMBIRA COUNTY EAST,SSEBUGWAWO YUSUFU,FDC,133
BUFUMBIRA COUNTY NORTH,KAYEMBA GEOFREY SSOLO,FDC,133
BUFUMBIRA COUNTY NORTH,KAGIMU KIWANUKA MAURICE,FDC,133
BUFUMBIRA COUNTY NORTH,SEMAKULA BASHIR,FDC,134
BUFUMBIRA COUNTY NORTH,KIYINGI DEOGRATIUS,FDC,134
BUFUMBIRA COUNTY NORTH,MUBIRU ARTHUR,FDC,135
BUFUMBIRA COUNTY SOUTH,NALUWUGE ANNET,FDC,135
BUFUMBIRA COUNTY SOUTH,MULINDWA ANDREW,FDC,136
BUFUMBIRA COUNTY SOUTH,BIRIMUKATONDA EVA NORAH,FDC,137
BUFUMBIRA COUNTY SOUTH,MUTEBI DENIS MUZEYI,FDC,137
BUFUMBIRA COUNTY SOUTH,SEBUKOMO JULIUS,FDC,138
BUGABULA COUNTY NORTH,REUBEN PAUL CHELIMO,FDC,139
BUGABULA COUNTY NORTH,SABILA NELSON,FDC,140
BUGABULA COUNTY NORTH,CHEROP CHARLIE CHEPTOIK,FDC,140
BUGABULA COUNTY NORTH,CHELANGAT ALINGA,FDC,140
BUGABULA COUNTY NORTH,KITI PETER,FDC,140
BUGABULA COUNTY NORTH,LABU PATRICK,FDC,141
BUGABULA COUNTY NORTH,KATENYA ISAAC,FDC,142
BUGABULA COUNTY NORTH,BURUNDO MUNGOMA,FDC,142
BUGABULA COUNTY SOUTH,GASHALI TOM,FDC,142
BUGABULA COUNTY SOUTH,BIARA EMMANUEL,FDC,144
BUGABULA COUNTY SOUTH,SAMAALI MOSES,FDC,144
BUGABULA COUNTY SOUTH,WABULAKA PAUL,FDC,144
BUGABULA COUNTY SOUTH,WAMAKUYU IGNATIUS MUDIMI,FDC,145
BUGABULA COUNTY SOUTH,MASABA EMMANUEL,FDC,145
BUGABULA COUNTY SOUTH,WADULO GIDADUYI,FDC,145
BUGABULA COUNTY SOUTH,NANGOLI GERALD,FDC,145
BUGABULA COUNTY SOUTH,MUSUDO NANJERA,FDC,147
BUGABULA COUNTY SOUTH,MWAMBU MADETE,FDC,148
BUGABULA COUNTY SOUTH,ATUGONZA ALLAN,FDC,148
BUGAHYA COUNTY,BIRAAHWA STEVEN,FDC,149
BUGANGAIZI EAST COUNTY,ACROBERT KIIZA MOSES,FDC,149
BUGANGAIZI EAST COUNTY,MBALIBULHA KIBANZANGA,FDC,149
BUGANGAIZI EAST COUNTY,SUNDAY APOLO,FDC,150
BUGANGAIZI EAST COUNTY,MUMBERE EZRA,FDC,150
BUGANGAIZI EAST COUNTY,GAFABUSA RICHARD,FDC,152
BUGANGAIZI SOUTH COUNTY,KAMANDA COS BATARINGAYA,FDC,154
BUGANGAIZI SOUTH COUNTY,BALYESIIMA METHODIUS,FDC,154
BUGANGAIZI SOUTH COUNTY,KAMUKAMA DAVIS,FDC,154
BUGANGAIZI WEST COUNTY,KALENZI VICTOR,FDC,156
BUGANGAIZI WEST COUNTY,BWAMBALE BENON,FDC,156
BUGANGAIZI WEST COUNTY,WOMUJUNI VINCENT,FDC,156
BUGHENDERA COUNTY,MURUNGI PATRICK ZERESIRE,FDC,156
BUGHENDERA COUNTY,KASINGA LAWRENCE,FDC,157
BUGHENDERA COUNTY,KIMULI KENNETH,FDC,158
BUGHENDERA COUNTY,KABAGYO-KISEMBO ROBERT,FDC,158
BUGIRI,RWABUKUKU KENNETH,FDC,158
BUGIRI,KABUURA DERRICK,FDC,158
BUGIRI,TAYEBWA ODO,FDC,159
BUGIRI,NYAKAHANGURA YEDIDIA,FDC,159
BUGIRI,AKANDUHURA KENNETH,FDC,161
